Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1000.000000000001,0.007119442143500612,-96.00913332650997,-46.37389639275638
1047.128548050901,0.007321907829969041,-91.34014363097018,37.29466188922233
1096.478196143186,0.007192659382293567,-86.29568230834757,-13.67333601928814
1148.153621496884,0.006739970191104469,-89.54692593946653,-31.25680045574757
1202.264434617413,0.007040189232263594,-89.55699975162617,-14.25301251758995
1258.925411794169,0.006182618495527257,-90.50207353914004,48.11799268134774
1318.256738556409,0.006454198730671675,-81.58816906736814,-10.26704533852379
1380.384264602885,0.00597500882455671,-96.04967459700411,-66.08326805786869
1445.43977074593,0.006035934604084075,-95.27713374292696,0.5569204113091786
1513.56124843621,0.006435304631587472,-82.15051077400685,-79.57461669022297
1584.893192461114,0.005831746315705823,-98.35455655041113,169.9211528590393
1659.586907437563,0.005184273190941677,-94.90847381803059,112.2355299273913
1737.800828749376,0.00599388072059573,-83.21772423003685,-50.32496649821995
1819.700858609984,0.005779191785990336,-90.46319284508775,-42.26644640142808
1905.46071796325,0.004566404594008087,-88.87011184680398,-89.68020222421795
1995.262314968881,0.003833347748331048,-86.19327872464046,-34.51349750319045
2089.296130854041,0.004429944104821643,-86.09599722684221,-71.66448474304138
2187.761623949554,0.005396098051933701,-105.3944945019866,-83.67530227140095
2290.867652767774,0.005591212748966515,-87.36350100870033,-135.9794015794327
2398.832919019493,0.004609670323990725,-92.62127280414254,-7.21660218552995
2511.886431509582,0.005248007743306473,-85.85085949338429,-60.24824662889004
2630.267991895385,0.005816685149574768,-91.64476140706088,-98.39096869477247
2754.228703338169,0.003657715285220533,-81.92237840973776,-94.90705987397564
2884.031503126609,0.004439554279408033,-82.56299476583108,-120.4816955061603
3019.951720402019,0.005065012170895988,-89.00954416959914,-113.2452022982991
3162.277660168382,0.004399720763465489,-88.50550936062604,-100.581051949009
3311.311214825914,0.005958059716613395,-87.39288261397667,-82.88857209046131
3467.368504525317,0.005930857074529887,-83.31851314792328,-95.01139902128179
3630.780547701017,0.004258110949690712,-83.66222019449955,-93.15019214101821
3801.893963205617,0.005300923918553994,-85.88478116029597,-135.4515662832615
3981.071705534973,0.004491436460366162,-90.26954965575854,-104.270909653374
4168.693834703359,0.005472559431911054,-85.25177420647589,-111.8703484013941
4365.158322401665,0.006132743696515102,-84.15994823812176,-101.9788688426941
4570.881896148752,0.005248407951342489,-87.83858018902134,-162.3055347029415
4786.300923226389,0.006276147926454208,-92.40359918693284,-143.7140482990875
5011.87233627273,0.006849999250045174,-83.77294204608705,-159.7220334133943
