Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1000.000000000001,0.009866919021237128,-6.190245596361319,-86.02978695345377
1047.128548050901,0.00923914649981967,-6.57364451633658,-88.48871505186924
1096.478196143186,0.008987092320586426,-6.971709638779338,-90.9344019350483
1148.153621496884,0.00850411986548763,-7.384775496603434,-93.37494163346463
1202.264434617413,0.008334529205293909,-7.812918380441274,-95.80744634590798
1258.925411794169,0.007902885108858304,-8.25808816134815,-98.22766633505898
1318.256738556409,0.007663470302781064,-8.717976316462128,-100.6329739004902
1380.384264602885,0.00729178446908935,-9.194614994245139,-103.0163357133853
1445.43977074593,0.007203839904559696,-9.684681441974096,-105.3817754265701
1513.56124843621,0.007710343879808696,-10.19091229706729,-107.7134698066303
1584.893192461114,0.007132900135558823,-10.70978952078368,-110.020300219938
1659.586907437563,0.006229020066678344,-11.24546712561692,-112.2986063109641
1737.800828749376,0.007377032433758866,-11.79429043660484,-114.5410997456957
1819.700858609984,0.00612050229192862,-12.35552181315766,-116.7420271215297
1905.46071796325,0.006085603322449694,-12.932220171695,-118.8940602388946
1995.262314968881,0.005865816103706594,-13.52082023672377,-121.0039091056046
2089.296130854041,0.005772264436956161,-14.12156749059782,-123.081492656269
2187.761623949554,0.005364069578005858,-14.73059957781087,-125.1009065835819
2290.867652767774,0.00512677400836005,-15.35783055745967,-127.0789405317189
2398.832919019493,0.005721247889582862,-15.99105906600537,-129.0208251104492
2511.886431509582,0.004874876464118843,-16.63832958805629,-130.870401238955
2630.267991895385,0.006313775953548597,-17.28954507543359,-132.6997621919885
2754.228703338169,0.004964475963780518,-17.95599853419447,-134.4812045120279
2884.031503126609,0.004885819323882528,-18.62474945254227,-136.1815205124889
3019.951720402019,0.005604571959702148,-19.31386672818333,-137.8135068778679
3162.277660168382,0.004675359397442167,-19.99799789116362,-139.4665971963445
3311.311214825914,0.004808699159966369,-20.69482704805445,-141.0315450319893
3467.368504525317,0.00501076496172914,-21.40303911520729,-142.5330657758608
3630.780547701017,0.005351567256630057,-22.1199384418837,-143.9866834195576
3801.893963205617,0.006252760072160509,-22.82980311960927,-145.3646941678874
3981.071705534973,0.004397811940210672,-23.55789907564655,-146.7338392346728
4168.693834703359,0.00487635833770346,-24.28594413487725,-148.0182318188772
4365.158322401665,0.005262445915586729,-25.01358659203363,-149.3160139944981
4570.881896148752,0.005840408974474146,-25.75883589277068,-150.5035855850286
4786.300923226389,0.006598009277823297,-26.50547887964722,-151.6443616308269
5011.87233627273,0.006304197832263898,-27.25860459002087,-152.7610043962387
5248.074602497728,0.005313109050905256,-28.02329023625902,-153.9065620579364
5495.408738576254,0.006794435281063636,-28.79182050244503,-154.8170203272076
5754.399373371578,0.00627173941120343,-29.55199401725323,-155.7772434697976
6025.59586074358,0.006249819628115489,-30.30241275712583,-156.8090949999446
6309.573444801937,0.006979507920841592,-31.05856494859812,-157.6543137975837
6606.934480075965,0.007884613670402744,-31.83867002475208,-158.5161861513264
6918.30970918937,0.0007034026722514187,-32.60892555293535,-159.4309657338558
7244.359600749906,0.007812783255767956,-33.39799671426598,-160.1377607071043
7585.775750291844,0.008852003041623084,-34.19617701329894,-160.8557850436364
7943.282347242821,0.009256460426515772,-34.93824799662394,-161.4271418393267
8317.637711026719,0.007742246997557546,-35.73956756019619,-162.1159977735668
8709.635899560815,0.004004825077965339,-36.51861231886295,-162.9097012772935
9120.108393559105,0.002831225050362253,-37.30523307369871,-163.5579993894254
9549.925860214369,0.004015479474389171,-38.11350715632101,-164.0146237249433
10000,0.007902465967935996,-38.92229741240073,-164.6874260891989
10471.28548050901,0.01226283576517561,-39.73567148356781,-165.1441003526676
10964.78196143186,0.01311856741007881,-40.5487410677408,-165.7170943658331
11481.53621496883,0.01286899928261808,-41.38010492417752,-166.40609034921
12022.64434617414,0.01394355547491967,-42.21985329047201,-166.3694841141057
12589.25411794168,-0.002441783583680053,-43.07078517272807,-166.8179579233843
13182.56738556407,0.01548611426694336,-43.91609182655604,-167.5796853053455
13803.84264602886,0.01525634648912361,-44.79106789314858,-167.9518196919307
14454.39770745929,0.009053781723977364,-45.51809852176327,-168.43479184718
15135.61248436209,0.01577922310806756,-46.54221897832412,-169.1868511199962
15848.93192461115,0.01758807688931598,-47.34682780408514,-167.8642895225375
