Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1000.000000000001,0.01404968047932148,-9.082467756753829,-87.04180062045512
1047.128548050901,0.01399988221335388,-9.471471842226931,-88.77114410301181
1096.478196143186,0.01398151405631707,-9.866279178359136,-90.49460699068798
1148.153621496884,0.01316872393747935,-10.26815700945722,-92.22263789932688
1202.264434617413,0.01393826705010372,-10.67878125427417,-93.93661843502596
1258.925411794169,0.01369285237061897,-11.09695269458845,-95.66817266336182
1318.256738556409,0.01324110340041162,-11.52124098540657,-97.39447217227611
1380.384264602885,0.01389875066236165,-11.95797331773049,-99.12036537239425
1445.43977074593,0.01392643646269078,-12.40007212562607,-100.8438312146592
1513.56124843621,0.01366435977025128,-12.85106176366955,-102.5748945374787
1584.893192461114,0.01385687186190795,-13.3101261730005,-104.3059073710069
1659.586907437563,0.01339023670752498,-13.77838114781779,-106.0305728830126
1737.800828749376,0.01311614320063701,-14.25629334093842,-107.7617525905612
1819.700858609984,0.01323615457637126,-14.74122485328205,-109.4976785271409
1905.46071796325,0.01290667901978254,-15.23880777026673,-111.2165904545428
1995.262314968881,0.01254110326795314,-15.74371979587418,-112.9437040637595
2089.296130854041,0.0130088752395151,-16.25508153398208,-114.6807115574274
2187.761623949554,0.01303416023969465,-16.77973922733753,-116.3999108689812
2290.867652767774,0.0134876060327593,-17.31865318946105,-118.0789753705891
2398.832919019493,0.01368717051129423,-17.85996815001649,-119.800754795465
2511.886431509582,0.01265892632106336,-18.40893010191548,-121.4924525029024
2630.267991895385,0.01273845167587237,-18.97376784968947,-123.1972752881779
2754.228703338169,0.01252732759398468,-19.54810497783801,-124.831737275571
2884.031503126609,0.01249053046378431,-20.13094173496765,-126.5021488866811
3019.951720402019,0.01305366466189329,-20.71890430304303,-128.128119950668
3162.277660168382,0.01300202254244262,-21.32186475347109,-129.7492904725456
3311.311214825914,0.01258891876605411,-21.93773771935444,-131.3561825732754
3467.368504525317,0.01230482332330733,-22.55796066672187,-132.9097486540708
3630.780547701017,0.0125045857151774,-23.18379209248031,-134.4624779444284
3801.893963205617,0.01326076687482317,-23.82788740963301,-135.974894388852
3981.071705534973,0.01246868407160683,-24.47111250069781,-137.524023583082
4168.693834703359,0.01301427329188681,-25.13572189526057,-138.898593001616
4365.158322401665,0.01272194348594225,-25.78301277649992,-140.3555762856018
4570.881896148752,0.01284904062846729,-26.4692352771873,-141.7473836076403
4786.300923226389,0.01354143482593015,-27.15068994323509,-143.1313860477188
5011.87233627273,0.01233140626532242,-27.83246812277253,-144.4301637471999
5248.074602497728,0.01129988644058626,-28.52535325504458,-145.7263329130065
5495.408738576254,0.01450822235859708,-29.25167554895851,-146.9762332542945
5754.399373371578,0.01400606543761248,-29.94828757786196,-148.2048966528424
6025.59586074358,0.01389173066461825,-30.64816437240376,-149.3732744679474
6309.573444801937,0.01456205065018581,-31.37306327296774,-150.4372139714961
6606.934480075965,0.0152297377968265,-32.09393836313787,-151.6871978704393
