Time (s),Channel 1 (V)
-10.24,2.459753694454666
-10.2375,2.47096599071432
-10.235,2.485915719060535
-10.2325,2.493390583233641
-10.23,2.504602879493299
-10.2275,2.51581517575296
-10.225,2.523290039926062
-10.2225,2.530764904099168
-10.22,2.538239768272269
-10.2175,2.545714632445382
-10.215,2.553189496618484
-10.2125,2.556926928705036
-10.21,2.560664360791587
-10.2075,2.560664360791589
-10.205,2.560664360791589
-10.2025,2.560664360791589
-10.2,2.556926928705034
-10.1975,2.553189496618484
-10.195,2.545714632445378
-10.1925,2.538239768272276
-10.19,2.527027472012615
-10.1875,2.515815175752957
-10.185,2.500865447406746
-10.1825,2.485915719060527
-10.18,2.467228558627772
-10.1775,2.452278830281561
-10.175,2.429854237762255
-10.1725,2.411167077329481
-10.17,2.388742484810165
-10.1675,2.366317892290849
-10.165,2.347630731858076
-10.1625,2.32520613933877
-10.16,2.306518978906006
-10.1575,2.2840943863867
-10.155,2.261669793867364
-10.1525,2.239245201348058
-10.15,2.220558040915294
-10.1475,2.201870880482539
-10.145,2.183183720049767
-10.1425,2.168233991703556
-10.14,2.149546831270793
-10.1375,2.134597102924578
-10.135,2.123384806664924
-10.1325,2.112172510405266
-10.13,2.100960214145613
-10.1275,2.093485349972503
-10.125,2.08974791788595
-10.1225,2.082273053712845
-10.12,2.082273053712843
-10.1175,2.078535621626292
-10.115,2.082273053712845
-10.1125,2.086010485799396
-10.11,2.08974791788595
-10.1075,2.097222782059055
-10.105,2.104697646232161
-10.1025,2.115909942491824
-10.1,2.127122238751477
-10.0975,2.138334535011135
-10.095,2.15702169544389
-10.0925,2.171971423790118
-10.09,2.190658584222873
-10.0875,2.209345744655636
-10.085,2.228032905088391
-10.0825,2.246720065521163
-10.08,2.265407225953926
-10.0775,2.287831818473243
-10.075,2.306518978906015
-10.0725,2.32520613933877
-10.07,2.347630731858086
-10.0675,2.366317892290841
-10.065,2.385005052723613
-10.0625,2.403692213156376
-10.06,2.422379373589139
-10.0575,2.44106653402191
-10.055,2.456016262368114
-10.0525,2.470965990714324
-10.05,2.485915719060529
-10.0475,2.497128015320193
-10.045,2.508340311579851
-10.0425,2.515815175752957
-10.04,2.523290039926064
-10.0375,2.527027472012615
-10.035,2.530764904099168
-10.0325,2.530764904099168
-10.03,2.530764904099166
-10.0275,2.527027472012615
-10.025,2.523290039926062
-10.0225,2.519552607839511
-10.02,2.512077743666404
-10.0175,2.504602879493299
-10.015,2.493390583233641
-10.0125,2.482178286973978
-10.01,2.470965990714324
-10.0075,2.459753694454666
-10.005,2.448541398195013
-10.0025,2.43732910193535
-10,2.426116805675692
-9.9975,2.411167077329481
-9.994999999999999,2.399954781069818
-9.9925,2.388742484810165
-9.99,2.377530188550507
-9.987500000000001,2.366317892290854
-9.984999999999999,2.355105596031191
-9.9825,2.347630731858086
-9.98,2.34015586768498
-9.977499999999999,2.336418435598424
-9.975,2.328943571425322
-9.9725,2.32520613933877
-9.970000000000001,2.321468707252218
-9.967499999999999,2.317731275165662
-9.965,2.313993843079111
-9.9625,2.313993843079111
-9.960000000000001,2.310256410992561
-9.9575,2.310256410992559
-9.955,2.306518978906006
-9.952500000000001,2.306518978906006
-9.949999999999999,2.306518978906004
