Time (s),Channel 1 (V),Channel 2 (V)
-0.01023875,1.959374812859367,-0.01470827494255516
-0.01023625,1.955826045646943,-0.01470827494255516
-0.01023375,1.955826045646947,-0.01470827494255516
-0.01023125,1.962923580071791,-0.01470827494255516
-0.01022875,1.962923580071791,-0.01470827494255516
-0.01022625,1.970021114496639,-0.01120014068795904
-0.01022375,1.973569881709063,-0.01120014068795904
-0.01022125,1.973569881709063,-0.01120014068795904
-0.01021875,1.977118648921487,-0.01470827494255516
-0.01021625,1.977118648921488,-0.01470827494255356
-0.01021375,1.980667416133911,-0.01120014068795904
-0.01021125,1.984216183346335,-0.01120014068796064
-0.01020875,1.984216183346335,-0.01470827494255516
-0.01020625,1.991313717771183,-0.01470827494255516
-0.01020375,1.994862484983607,-0.01120014068795904
-0.01020125,1.994862484983607,-0.01470827494255516
-0.01019875,1.994862484983607,-0.01470827494255516
-0.01019625,1.998411252196031,-0.01470827494255516
-0.01019375,2.005508786620879,-0.01120014068796064
-0.01019125,2.005508786620879,-0.01470827494255516
-0.01018875,2.005508786620879,-0.01470827494255516
-0.01018625,2.005508786620879,-0.01470827494255516
-0.01018375,2.009057553833303,-0.01470827494255516
-0.01018125,2.016155088258147,-0.01470827494255516
-0.01017875,2.012606321045726,-0.01120014068795904
-0.01017625,2.023252622682993,-0.01120014068795904
-0.01017375,2.026801389895422,-0.01120014068795904
-0.01017125,2.023252622683001,-0.007692006433367711
-0.01016875,2.030350157107846,-0.01821640919715127
-0.01016625,2.026801389895422,-0.01470827494255516
-0.01016375,2.026801389895422,-0.01821640919715127
-0.01016125,2.030350157107846,-0.01120014068795904
-0.01015875,2.033898924320268,-0.01470827494255356
-0.01015625,2.037447691532694,-0.01470827494255516
-0.01015375,2.044545225957539,-0.01470827494255516
-0.01015125,2.048093993169966,-0.01120014068795904
-0.01014875,2.048093993169968,-0.01120014068796223
-0.01014625,2.05164276038239,-0.01821640919715127
-0.01014375,2.05164276038239,-0.01470827494255516
-0.01014125,2.055191527594814,-0.01470827494255516
-0.01013875,2.055191527594814,-0.01821640919715127
-0.01013625,2.062289062019659,-0.01120014068796223
-0.01013375,2.062289062019662,-0.01470827494255516
-0.01013125,2.062289062019665,-0.01470827494255516
-0.01012875,2.06938659644451,-0.01470827494255516
-0.01012625,2.069386596444513,-0.01470827494255676
-0.01012375,2.076484130869357,-0.01821640919715127
-0.01012125,2.072935363656933,-0.01470827494255516
-0.01011875,2.080032898081781,-0.01470827494255516
-0.01011625,2.076484130869357,-0.01821640919715127
-0.01011375,2.072935363656935,-0.01470827494255676
-0.01011125,2.080032898081781,-0.01470827494255516
-0.01010875,2.087130432506632,-0.01470827494255356
-0.01010625,2.094227966931477,-0.01120014068795904
-0.01010375,2.094227966931479,-0.01470827494255676
-0.01010125,2.097776734143901,-0.01821640919715127
-0.01009875,2.101325501356325,-0.01470827494255516
-0.01009625,2.101325501356325,-0.01821640919714968
-0.01009375,2.101325501356325,-0.01821640919715127
-0.01009125,2.101325501356325,-0.01470827494255676
-0.01008875,2.101325501356325,-0.01470827494255516
-0.01008625,2.108423035781176,-0.01470827494255676
-0.01008375,2.115520570206021,-0.01821640919715127
-0.01008125,2.115520570206021,-0.01470827494255516
-0.01007875,2.115520570206021,-0.01470827494255516
-0.01007625,2.119069337418445,-0.01821640919715127
-0.01007375,2.12616687184329,-0.01470827494255676
-0.01007125,2.122618104630869,-0.01821640919715127
-0.01006875,2.126166871843291,-0.01470827494255676
-0.01006625,2.129715639055716,-0.01470827494255516
-0.01006375,2.129715639055719,-0.01470827494255516
-0.01006125,2.136813173480564,-0.01470827494255516
-0.01005875,2.140361940692988,-0.01120014068795904
-0.01005625,2.140361940692988,-0.01821640919715127
-0.01005375,2.143910707905412,-0.01470827494255516
